german,frequency,pattern,example_sentence,translation,sources
etwas,26,sich_verb,"Sollte sich etwas ereignen, lassen Sie es mich bitte wissen.","If anything should happen, please let me know.",['100k_German_sentences_with_aud']
habe ihnen,25,haben_noun,Ich habe ihnen die Regeln des Spiels erklärt.,I explained the rules of the game to them.,['100k_German_sentences_with_aud']
neben,25,sich_verb,Das Stadion befindet sich neben der Schule.,The stadium is adjacent to the school.,['100k_German_sentences_with_aud']
sind auf,25,sein_adj,"demonstrieren ......+ Akk. Viele Menschen sind auf die Straße gegangen, um ..... diese Politik zu demonstrieren.","demonstrieren gegen + Akk. Viele Menschen sind auf die Straße gegangen, um gegen diese Politik zu demonstrieren.","['100k_German_sentences_with_aud', 'Verben_mit_Prpositionen_und_Be']"
haben vor,25,haben_noun,"(sich) streiten .... + Akk. Beide Elternteile haben vor Gericht .... das Sorgerecht gestritten. Die Kinder streiten (sich) oft da...., wer anfangen darf.","(sich) streiten um + Akk. Beide Elternteile haben vor Gericht um das Sorgerecht gestritten. Die Kinder streiten (sich) oft darum, wer anfangen darf.","['100k_German_sentences_with_aud', 'Verben_mit_Prpositionen_und_Be']"
warum mary,25,sein_adj,"Tom hat keine Ahnung, warum Mary das getan hat.",Tom has no idea why Mary did that.,['100k_German_sentences_with_aud']
gerade,25,sich_verb,Das Parlament befindet sich gerade in der Beratung.,The Diet is now in session.,['100k_German_sentences_with_aud']
ist leicht,25,sein_adj,"Es ist leicht einen Fehler zu machen, wenn man sich beeilt.","When you're in a hurry, it's easy to make a mistake.",['100k_German_sentences_with_aud']
sind so,25,sein_adj,"Es sind so viele Sterne am Himmel, ich kann sie nicht alle zählen.","There are so many stars in the sky, I can't count them all.",['100k_German_sentences_with_aud']
ist schön,25,sein_adj,Diese Schauspielerin ist schön wie immer.,That actress is as beautiful as ever.,['100k_German_sentences_with_aud']
sind es,25,sein_adj,"Wir Männer sind es gewohnt, auf die Frauen zu warten.",We men are used to waiting for the women.,['100k_German_sentences_with_aud']
ist wahrscheinlich,25,sein_adj,"Es ist wahrscheinlich, dass das Parlament aufgelöst wird.",It's likely the Diet will be dissolved.,['100k_German_sentences_with_aud']
war einmal,25,sein_adj,Es war einmal ein alter Mann in diesem Dorf.,"Once upon a time, there was an old man in this village.",['100k_German_sentences_with_aud']
bin sehr,25,sein_adj,Ich bin sehr beeindruckt von Ihrer Qualitätssicherung.,I'm very impressed with your quality control.,['100k_German_sentences_with_aud']
ist derjenige,25,sein_adj,"Er ist derjenige, dem ich mein Wörterbuch gab.",He is the person to whom I gave my dictionary.,['100k_German_sentences_with_aud']
habe kein,24,haben_noun,Ich habe kein so schönes Geschenk von dir erwartet.,I didn't expect such a nice present from you.,['100k_German_sentences_with_aud']
ist dieser,24,sein_adj,Die Motivation zu Heiraten ist dieser Tage nicht notwendigerweise rein.,"These days, the motives for marriage are not necessarily pure.",['100k_German_sentences_with_aud']
hatte noch,24,haben_noun,Tracy hatte noch nie zuvor Stäbchen benutzt.,Tracy had never used chopsticks before then.,['100k_German_sentences_with_aud']
war immer,24,sein_adj,In seinen Aufsätzen war immer zu viel Überflüssiges geschrieben.,There was always too much superfluous writing in his essays.,['100k_German_sentences_with_aud']
war gerade,24,sein_adj,Ich war gerade dabei einen Kuchen zu backen.,I was making a cake.,['100k_German_sentences_with_aud']
macht mich,24,machen_noun,Dein Lächeln macht mich immer glücklich.,Your smile always makes me happy.,['100k_German_sentences_with_aud']
habe viele,24,haben_noun,Ich habe viele Teile von England bereist.,I visited many parts of England.,['100k_German_sentences_with_aud']
ist hier,24,sein_adj,"Mach deine Zigarette aus, Rauchen ist hier verboten!",Put out your cigarette. Smoking's not permitted here.,['100k_German_sentences_with_aud']
haben es,24,haben_noun,Wir haben es endlich auf den Fuji-Gipfel geschafft.,We gained the top of Mt. Fuji at last.,['100k_German_sentences_with_aud']
bin überrascht,24,sein_adj,"Ich bin überrascht, dass du so naiv bist.",I'm surprised that you're so naïve.,['100k_German_sentences_with_aud']
zur,24,sich_verb,"Der Einbrecher hat es sich zur Gewohnheit gemacht, spät aufzustehen.",The burglar is used to staying up late.,['100k_German_sentences_with_aud']
habe zwei,24,haben_noun,Ich bin verheiratet und habe zwei Kinder.,I am married and have two children.,['100k_German_sentences_with_aud']
ist ihre,23,sein_adj,Was ist ihre größte Inspirationsquelle?,What is your greatest source of inspiration?,['100k_German_sentences_with_aud']
habe im,23,haben_noun,Ich habe im letzten Jahr mein erstes Kind zur Welt gebracht.,I delivered my first child last year.,['100k_German_sentences_with_aud']
wäre das,23,sein_adj,"Es wäre das Beste für dich, die Arbeit selber zu machen.",The best thing would be for you to do the work yourself.,['100k_German_sentences_with_aud']
habe diese,23,haben_noun,Ich habe diese alten Münzen von ihr bekommen.,I got these old coins from her.,['100k_German_sentences_with_aud']
ist reich,23,sein_adj,Der Kontinent ist reich an fossilen Brennstoffen.,The continent is abundant in fossil fuels.,['100k_German_sentences_with_aud']
darauf,23,sich_verb,"Sven war so wortreich, dass seine Freunde sich darauf verlegten, ihn ein Plappermaul zu nennen.",Sven was so verbose that his friends resorted to calling him a chatterbox.,['100k_German_sentences_with_aud']
ist oder,23,sein_adj,"Ich weiß nicht, ob es gut ist oder nicht.",I do not know whether it is good or not.,['100k_German_sentences_with_aud']
oft,23,sich_verb,"Alle Untertanen des Königs verhielten sich oft sehr unterwürfig, da sie seinen Zorn fürchteten.","All the king's subjects, fearing his wrath, often acted quite servile.",['100k_German_sentences_with_aud']
ist ziemlich,23,sein_adj,"Es ist ziemlich schwierig, Französisch nach 2, 3 Jahren zu beherrschen.",It's quite difficult to master French in 2 or 3 years.,['100k_German_sentences_with_aud']
bin zu,23,sein_adj,nachdenken ...... + Akk. ....... diese Frage möchte ich noch einmal in Ruhe nachdenken. Ich habe da....... nachgedacht und bin zu einem Entschluss gekommen.,nachdenken über + Akk. Über diese Frage möchte ich noch einmal in Ruhe nachdenken. Ich habe darüber nachgedacht und bin zu einem Entschluss gekommen.,"['100k_German_sentences_with_aud', 'Verben_mit_Prpositionen_und_Be']"
bin noch,23,sein_adj,Ich bin noch nicht mit den Hausaufgaben fertig.,I haven't finished my homework yet.,['100k_German_sentences_with_aud']
bin hier,23,sein_adj,"Ich bin hier, um dir Manieren beizubringen!",I'm here to teach you some manners.,['100k_German_sentences_with_aud']
hätte dir,23,haben_noun,Ich hätte dir eher alles erzählen sollen.,I should have told you everything earlier.,['100k_German_sentences_with_aud']
hatten wir,23,haben_noun,"jn./etwas/sich halten .... + Akk. Zuerst hatten wir die Person im Schatten .... einen Einbrecher gehalten, doch dann stellte sich heraus, dass es nur unser Nachbar war. Ich halte es für .... Fehler, a","jn./etwas/sich halten für + Akk. Zuerst hatten wir die Person im Schatten für einen Einbrecher gehalten, doch dann stellte sich heraus, dass es nur unser Nachbar war. Ich halte es für einen Fehler, ab","['100k_German_sentences_with_aud', 'Verben_mit_Prpositionen_und_Be']"
bin von,23,sein_adj,"Ich habe die französische Staatsbürgerschaft, aber ich bin von vietnamesischer Abstammung.",I have French nationality but Vietnamese origins.,['100k_German_sentences_with_aud']
hausaufgaben helfen,22,verb_zu,Du hättest meinem Sohn nicht bei den Hausaufgaben zu helfen brauchen.,You need not have helped my son with his homework.,['100k_German_sentences_with_aud']
hatte keinen,22,haben_noun,Er hatte keinen Erfolg mit der Bewerbung für diese Arbeitsstelle.,He couldn't get the job.,['100k_German_sentences_with_aud']
hättest mir,22,haben_noun,"Ich wünschte, du hättest mir die Wahrheit erzählt.",I wish you had told me the truth.,['100k_German_sentences_with_aud']
wäre mir,22,sein_adj,"Es wäre mir lieber, wenn du dir einen Tag freinehmen würdest.",I would rather you had a day off.,['100k_German_sentences_with_aud']
hätte maria,22,haben_noun,Tom hätte Maria die Wahrheit sagen sollen.,Tom should have told Mary the truth.,['100k_German_sentences_with_aud']
wieder,22,sich_verb,"Mary und John stritten sich, aber nach einer Weile vertrugen sie sich wieder.","Mary and John quarreled, but made up after a while.",['100k_German_sentences_with_aud']
wäre nicht,22,sein_adj,"Er wäre nicht verunglückt, wenn er an jenem Tage zu Hause geblieben wäre.","If he had stayed at home that day, he would not have met with disaster.",['100k_German_sentences_with_aud']
haben ihre,22,haben_noun,jn. verheiraten ....  + Dat. Sie haben ihre Tochter ... dem Sohn eines Nachbarn verheiratet.,jn. verheiraten mit + Dat. Sie haben ihre Tochter mit dem Sohn eines Nachbarn verheiratet.,"['100k_German_sentences_with_aud', 'Verben_mit_Prpositionen_und_Be']"
hatte das,22,haben_noun,"Er hatte das Auto repariert und sah müde aus, als ich zu Hause ankam.",He had been repairing the car and looked tired when I arrived home.,['100k_German_sentences_with_aud']
hausaufgaben machen,22,verb_zu,"Ich bin zu faul, meine Hausaufgaben zu machen.",I'm too lazy to do my homework.,['100k_German_sentences_with_aud']
gelesen werden,22,verb_zu,"Manche Bücher sind es wert, immer wieder gelesen zu werden.",Some books are worth reading over and over again.,['100k_German_sentences_with_aud']
hier,22,sich_verb,"Ich denke, es handelt sich hier um ein Missverständnis.",I think there has been some misunderstanding here.,['100k_German_sentences_with_aud']
ist am,21,sein_adj,"Ich denke, es ist am besten, nicht unhöflich zu sein.",I think it is best not to be impolite.,['100k_German_sentences_with_aud']
ist etwa,21,sein_adj,Die Bevölkerung von Italien ist etwa halb so groß wie die von Japan.,The population of Italy is about half as large as that of Japan.,['100k_German_sentences_with_aud']
waren nicht,21,sein_adj,"Wir waren nicht imstande, seiner Logik zu folgen.",We were unable to follow his logic.,['100k_German_sentences_with_aud']
sind von,21,sein_adj,Tischmanieren sind von Land zu Land unterschiedlich.,Table manners vary from one country to another.,['100k_German_sentences_with_aud']
ist nach,21,sein_adj,Zürich ist nach London der weltweit zweitgrößte Goldmarkt.,Zurich is the second largest gold market in the world after London.,['100k_German_sentences_with_aud']
sind uns,21,sein_adj,"Das Geld und ich, wir sind uns fremd; anders gesagt, ich bin arm.","Money and I are strangers; in other words, I am poor.",['100k_German_sentences_with_aud']
sind eine,21,sein_adj,10 Jahre sind eine lange Zeit zum Warten.,Ten years is a long time to wait.,['100k_German_sentences_with_aud']
bin kein,21,sein_adj,"Ich bin kein echter Fisch, ich bin nur ein einfaches Plüschtier.","I'm not a real fish, I'm just a mere plushy.",['100k_German_sentences_with_aud']
haben schon,21,haben_noun,Wir haben schon seit dem letzten Jahr nichts mehr von ihm gehört.,We have not heard from him since last year.,['100k_German_sentences_with_aud']
machen müssen,21,machen_noun,Die Ausgewählten werden umfassende medizinische und psychologische Tests machen müssen.,Those selected will have to face extensive medical and psychological tests.,['100k_German_sentences_with_aud']
waren die,21,sein_adj,Das waren die unglücklichsten Stunden meines Lebens.,Those were the saddest hours of my life.,['100k_German_sentences_with_aud']
hätte mich,21,haben_noun,sich einlassen .... + Akk. Er provoziert gern. Am besten lässt du dich gar nicht da... ein. Ich hätte mich nicht da... einlassen sollen.,sich einlassen auf + Akk. Er provoziert gern. Am besten lässt du dich gar nicht darauf ein. Ich hätte mich nicht darauf einlassen sollen.,"['100k_German_sentences_with_aud', 'Verben_mit_Prpositionen_und_Be']"
mache ich,21,machen_noun,"Wenn ihr morgen nicht angeln geht, mache ich es auch nicht.","If you do not go fishing tomorrow, I will not either.",['100k_German_sentences_with_aud']
hättet ihr,21,haben_noun,"Welche berühmten Lieder hättet ihr gerne komponiert, und warum?","What famous songs do you wish you had composed, and why?",['100k_German_sentences_with_aud']
hätte dich,21,haben_noun,Ich hätte dich am Flughafen treffen können.,I could've met you at the airport.,['100k_German_sentences_with_aud']
maria,21,sich_verb,"Tom hörte, dass sich Maria einen neuen Rechner gekauft habe.",Tom heard that Mary had bought a new computer.,['100k_German_sentences_with_aud']
ist dieses,21,sein_adj,Was ist dieses Gebäude mit dem grünen Dach?,What is that building with the green roof?,['100k_German_sentences_with_aud']
jetzt,21,sich_verb,sich erholen .... + Dat. Der Patient muss sich jetzt ..... der Operation erholen.  Das war ein großer Schreck und ich habe mich immer noch nicht da....  erholt.,sich erholen von + Dat. Der Patient muss sich jetzt von der Operation erholen.  Das war ein großer Schreck und ich habe mich immer noch nicht davon erholt.,"['100k_German_sentences_with_aud', 'Verben_mit_Prpositionen_und_Be']"
ist seit,20,sein_adj,Robert ist seit mehr als einem Jahr mit Maria verlobt.,Bob has been engaged to Mary for over a year.,['100k_German_sentences_with_aud']
wäre ein,20,sein_adj,"Ich wünschte, ich wäre ein Vogel gewesen.",I wish I had been a bird.,['100k_German_sentences_with_aud']
habe beschlossen,20,haben_noun,"Ich habe beschlossen, nicht noch einmal einen Hund zu halten.",I've decided not to keep a dog again.,['100k_German_sentences_with_aud']
ist durch,20,sein_adj,Sie ist durch harte Arbeit und einen guten Geschäftssinn reich geworden.,She became rich by virtue of hard work and good business sense.,['100k_German_sentences_with_aud']
ist sein,20,sein_adj,Trotz der Wichtigkeit von Schlaf ist sein Zweck ein Rätsel.,"Despite the importance of sleep, its purpose is a mystery.",['100k_German_sentences_with_aud']
wärest du,20,sein_adj,"Wenn du nur Englisch sprechen könntest, wärest du perfekt.","If you could only speak English, you would be perfect.",['100k_German_sentences_with_aud']
warum wir,20,sein_adj,"zurückkommen ..... + Akk. Ich komme noch einmal ....die Frage zurück, warum wir unser Ziel nicht erreichen konnten.","zurückkommen auf + Akk. Ich komme noch einmal auf die Frage zurück, warum wir unser Ziel nicht erreichen konnten.","['100k_German_sentences_with_aud', 'Verben_mit_Prpositionen_und_Be']"
warum hat,20,sein_adj,"Warum hat es nur England geschafft, die Macht des Königs zu beschränken?",Why is it that only England succeeded in abridging the King's power?,['100k_German_sentences_with_aud']
gestohlen haben,20,verb_zu,"Mary bestritt, das Geld gestohlen zu haben.",Mary denied having stolen the money.,['100k_German_sentences_with_aud']
hätte gern,20,haben_noun,Ich hätte gern die Telefonnummer des nächsten American-Express-Büros.,I'd like to know the phone number of the nearest American Express office.,['100k_German_sentences_with_aud']
machten sich,20,machen_noun,Sie machten sich alle über seinen Fehler lustig.,Everybody laughed at his error.,['100k_German_sentences_with_aud']
warum ihr,20,sein_adj,"Würdet ihr mir sagen, warum ihr ihr Angebot abgelehnt habt?",Would you tell me why you have refused their offer?,['100k_German_sentences_with_aud']
bin schon,20,sein_adj,"Ich bin schon im Bett, wenn du nach Hause kommst.",I'll be in bed by the time you get home.,['100k_German_sentences_with_aud']
habe auf,20,haben_noun,Ich habe auf meinem Heimweg einen Hund getroffen.,I met a dog on my way home.,['100k_German_sentences_with_aud']
hattest du,20,haben_noun,Hattest du schon einmal eine ernsthafte Erkrankung?,Have you ever had any serious illness?,['100k_German_sentences_with_aud']
ging auf,20,gehen_prep,Der alte Arzt ging auf jeden Patienten individuell ein.,The old doctor gave individual attention to each patient.,['100k_German_sentences_with_aud']
war bei,19,sein_adj,Bob war bei allen seinen Klassenkameraden beliebt.,Bob was popular with all his classmates.,['100k_German_sentences_with_aud']
gingen zu,19,gehen_prep,"Wir gingen zum See, um Ruderboot zu fahren.",We went to the lake to row a boat.,['100k_German_sentences_with_aud']
hätte fast,19,haben_noun,Ich hätte fast die Teller fallen lassen.,I almost dropped the plates.,['100k_German_sentences_with_aud']
machen sollte,19,machen_noun,"Da ich nicht wusste, was ich machen sollte, rief ich die Polizei.","Not knowing what to do, I telephoned the police.",['100k_German_sentences_with_aud']
hatte nie,19,haben_noun,Nancy hatte nie einen Riesenpanda gesehen.,Nancy had never seen a giant panda.,['100k_German_sentences_with_aud']
dafür,19,sich_verb,"Harry schämt sich dafür, Sally belogen zu haben.",Harry is ashamed of having lied to Sally.,['100k_German_sentences_with_aud']
hätten wir,19,haben_noun,"Wäre es ein bisschen wärmer gewesen, hätten wir unseren Tee im Garten trinken können.","We could have our tea in the garden, were it a little warmer.",['100k_German_sentences_with_aud']
sind für,19,sein_adj,Einige Leute sind für den Plan und andere sind dagegen.,Some people are for the plan and others are against it.,['100k_German_sentences_with_aud']
hatte es,19,haben_noun,"Kaum hatte es aufgehört zu regnen, da erschien ein schöner Regenbogen.",No sooner had it stopped raining than a beautiful rainbow appeared.,['100k_German_sentences_with_aud']
machen können,19,verb_zu,"Freiheit besteht darin, alles machen zu können, was keinem anderen schadet.",Liberty consists of being able to make everything as harmless as possible.,['100k_German_sentences_with_aud']
mehr,19,sich_verb,"Wenn er überhaupt Erfolg haben will, dann muss er sich mehr anstrengen.","If he wants to succeed at all, he must work harder.",['100k_German_sentences_with_aud']
ständig,19,sich_verb,"sich aufregen ...... + Akk. Er regt sich ständig ...... die spielenden Kinder auf. Sie hat sich da..... aufgeregt, dass niemand sie vorher informiert hatte.","sich aufregen über + Akk. Er regt sich ständig über die spielenden Kinder auf. Sie hat sich darüber aufgeregt, dass niemand sie vorher informiert hatte.","['100k_German_sentences_with_aud', 'Verben_mit_Prpositionen_und_Be']"
ist ihr,19,sein_adj,"umwandeln ....+ Akk. Es ist ihr gelungen, den Familienbetrieb ... eine moderne Firma umzuwandeln","umwandeln in + Akk. Es ist ihr gelungen, den Familienbetrieb in eine moderne Firma umzuwandeln","['100k_German_sentences_with_aud', 'Verben_mit_Prpositionen_und_Be']"
mache mir,19,machen_noun,Ich mache mir große Sorgen um deine Gesundheit.,I am much concerned about your health.,['100k_German_sentences_with_aud']
durch,19,sich_verb,Diese Tasche hat sich durch übermäßigen Gebrauch abgenutzt.,Hard use has worn this bag.,['100k_German_sentences_with_aud']
sind nur,19,sein_adj,"Antworten sind nur dann nützlich, wenn sie neue Fragen aufwerfen.",The only useful answers are those that raise new questions.,['100k_German_sentences_with_aud']
war im,19,sein_adj,Das Volk war im Allgemeinen gegen den Krieg.,The people at large were against the war.,['100k_German_sentences_with_aud']
ist vielleicht,19,sein_adj,Ihre Kommunikation ist vielleicht viel komplexer als wir dachten.,Their communication may be much more complex than we thought.,['100k_German_sentences_with_aud']
war alles,19,sein_adj,Er war alles andere als clever in seiner Schulzeit.,He was far from clever in his school days.,['100k_German_sentences_with_aud']
wäre sie,19,sein_adj,"Wäre sie nur etwas geduldiger gewesen, hätte sie vielleicht Erfolg gehabt.","If she had been a little more patient, she could have succeeded.",['100k_German_sentences_with_aud']
ist genauso,18,sein_adj,"Er ist genauso gekommen, wie wir erwartet haben.",It went just as we expected.,['100k_German_sentences_with_aud']
machen wir,18,machen_noun,"Nun, machen wir's zu einem anderen Zeitpunkt.","Well, let's make it some other time.",['100k_German_sentences_with_aud']
hätte eine,18,haben_noun,Man hätte eine Stecknadel fallen hören.,You could have heard a pin drop.,['100k_German_sentences_with_aud']
ist leichter,18,sein_adj,"Welches ist leichter zu lesen, dieses oder jenes Buch?","Which is easier, this book or that book?",['100k_German_sentences_with_aud']
wären sie,18,sein_adj,"Wären Sie so freundlich, es mir zu erklären?",Would you be kind enough to explain it to me?,['100k_German_sentences_with_aud']
habe maria,18,haben_noun,"Ich habe Maria Medikamente gegeben, die helfen sollten.",I gave Mary some meds that should help.,['100k_German_sentences_with_aud']
ist über,18,sein_adj,Der Turm ist über einhundert Meter hoch.,The height of the tower is above 100 meters.,['100k_German_sentences_with_aud']
war dumm,18,sein_adj,"Es war dumm von dir, sein Angebot anzunehmen.",It was foolish of you to accept his offer.,['100k_German_sentences_with_aud']
haben in,18,haben_noun,Wir haben in der Regel viel Regen im Herbst.,"As a rule, we have a lot of rain in fall.",['100k_German_sentences_with_aud']
waren in,18,sein_adj,Ihre Noten waren in diesem Trimester schlechter als der Durchschnitt.,Your marks were well below average this term.,['100k_German_sentences_with_aud']
gewesen sein,18,verb_zu,Er scheint sehr lange krank gewesen zu sein.,He seems to have been ill for a long time.,['100k_German_sentences_with_aud']
zum,18,sich_verb,zu tun haben ...  + Dat. .... dir will ich nichts mehr zu tun haben.  Ich bin unschuldig und habe .... dieser Sache nichts zu tun.  Wo.... hat das zu tun?  Das Viertel hat sich zum Positiven hin verän,zu tun haben mit + Dat. Mit dir will ich nichts mehr zu tun haben.  Ich bin unschuldig und habe mit dieser Sache nichts zu tun.  Womit hat das zu tun?  Das Viertel hat sich zum Positiven hin verändert,"['100k_German_sentences_with_aud', 'Verben_mit_Prpositionen_und_Be']"
hatte glück,18,haben_noun,"Er hatte Glück, dass er das Buch, das er verloren hatte, wiederfand.",He was fortunate to find the book he had lost.,['100k_German_sentences_with_aud']
waren zu,18,sein_adj,Die Sommerferien waren zu schnell zu Ende.,The summer vacation has come to an end too soon.,['100k_German_sentences_with_aud']
besser,18,sich_verb,"Sie sollten versuchen, sich besser zu benehmen.",You should try to behave better.,['100k_German_sentences_with_aud']
hätte mehr,18,haben_noun,"Ich wünschte, ich hätte mehr Zeit, mit Ihnen zu reden.",I wish I had more time to talk with you.,['100k_German_sentences_with_aud']
habe sich,18,haben_noun,"Der Junge sagte, das Taxi habe sich im Nebel aufgelöst.",The boy said that the taxi vanished into the fog.,['100k_German_sentences_with_aud']
haben mir,18,haben_noun,Deine Kommentare haben mir immer sehr geholfen.,Your comments were always very helpful to me.,['100k_German_sentences_with_aud']
habe ihr,18,haben_noun,Ich habe Ihr Schweigen als Zustimmung gewertet.,I interpreted your silence as consent.,['100k_German_sentences_with_aud']
ist sowohl,18,sein_adj,Mary ist sowohl intelligent als auch nett.,Mary is both intelligent and kind.,['100k_German_sentences_with_aud']
war auf,18,sein_adj,Nikita Chruschtschow war auf dem Zenit seiner Macht.,Nikita Khrushchev was at the height of his powers.,['100k_German_sentences_with_aud']
ist maria,18,sein_adj,"Das Mädchen, das drüben steht, ist Maria.",The girl standing over there is Mary.,['100k_German_sentences_with_aud']
machen kann,18,machen_noun,"Wenn man nicht machen kann, was man will, macht man, was man kann.","When you can't do what you want, you do what you can.",['100k_German_sentences_with_aud']
ist wegen,17,sein_adj,Die Stadt ist wegen ihres schönen Parks berühmt.,This city is famous for its beautiful park.,['100k_German_sentences_with_aud']
bist ein,17,sein_adj,"Du bist ein vielbeschäftigter Mann, also passe ich meinen Zeitplan an deinen an.","You are a busy man, so I will adjust my schedule to yours.",['100k_German_sentences_with_aud']
sind viele,17,sein_adj,sterben .... + Dat. Wo.. ist er gestorben? In den letzten Monaten sind viele alte Menschen .... Grippe gestorben.,sterben an + Dat. Woran ist er gestorben? In den letzten Monaten sind viele alte Menschen an Grippe gestorben.,"['100k_German_sentences_with_aud', 'Verben_mit_Prpositionen_und_Be']"
sind der,17,sein_adj,"Einige Leute sind der festen Ansicht, dass Fernsehen mehr schadet, als es nutzt.",Some people insist that television does more harm than good.,['100k_German_sentences_with_aud']
warum sind,17,sein_adj,Warum sind einige Übersetzungen ausgegraut?,Why are some translations in grey?,['100k_German_sentences_with_aud']
alles,17,sich_verb,"sich drehen ...... + Akk. Auf der Tourismusmesse dreht sich alles ...... Urlaub und Reisen. Es dreht sich immer alles ..... dich, aber ich bin auch noch da. Vergiss das nicht.","sich drehen um + Akk. Auf der Tourismusmesse dreht sich alles um Urlaub und Reisen. Es dreht sich immer alles um dich, aber ich bin auch noch da. Vergiss das nicht.","['100k_German_sentences_with_aud', 'Verben_mit_Prpositionen_und_Be']"
ist aber,17,sein_adj,Seine kleine Schwester ist aber sehr süß!,"His little sister is very cute, isn't she?",['100k_German_sentences_with_aud']
habe seit,17,haben_noun,Ich habe seit damals nichts von ihm gehört.,I haven't heard from him since then.,['100k_German_sentences_with_aud']
war nie,17,sein_adj,Tom war nie zuvor zu spät zur Arbeit gekommen.,Tom had never been late for work before.,['100k_German_sentences_with_aud']
ist höchste,17,sein_adj,"Es ist höchste Zeit, dass du dir die Haare schneiden lässt.",It's high time you had a haircut.,['100k_German_sentences_with_aud']
ist völlig,17,sein_adj,Er ist völlig unwissend was die Welt angeht.,He is ignorant of the world.,['100k_German_sentences_with_aud']
hatte tom,17,haben_noun,"Vor dem Unfall hatte Tom gehofft, professioneller Tennisspieler zu werden.","Before the crash, Tom had been hoping to become a professional tennis player.",['100k_German_sentences_with_aud']
ist drei,17,sein_adj,Diese Fahrkarte ist drei Tage lang gültig.,This ticket is good for three days.,['100k_German_sentences_with_aud']
war wegen,17,sein_adj,Ich war wegen deiner Gesundheit beunruhigt.,I have been anxious about your health.,['100k_German_sentences_with_aud']
spazieren gehen,17,verb_zu,"Ich liebe es, im Regen spazieren zu gehen.",I like to walk in the rain.,['100k_German_sentences_with_aud']
sind seit,17,sein_adj,"Ja, wir sind seit unserer Kindheit befreundet.","Yes, we have been friends since our childhood.",['100k_German_sentences_with_aud']
gehen zu,17,gehen_prep,"Um nicht zur Schule gehen zu müssen, spielte Maria krank.",Mary pretended she was sick to avoid going to school.,['100k_German_sentences_with_aud']
hinter,17,sich_verb,Das Kind versteckte sich hinter einem großen Baum.,The child was hiding behind a big tree.,['100k_German_sentences_with_aud']
waren alle,17,sein_adj,sich beteiligen .... + Dat. Alle sollten sich ... den Kosten beteiligen. .... diesem Erfolg waren alle gleichermaßen beteiligt.,sich beteiligen an + Dat. Alle sollten sich an den Kosten beteiligen. An diesem Erfolg waren alle gleichermaßen beteiligt.,"['100k_German_sentences_with_aud', 'Verben_mit_Prpositionen_und_Be']"
seit,17,sich_verb,Unsere Firma hat sich seit ihrer Gründung sehr gut entwickelt.,Our company has come a long way since it was set up.,['100k_German_sentences_with_aud']
war nur,16,sein_adj,Dieser Tag war nur Zeit- und Geldverschwendung.,This day was just a waste of time and money.,['100k_German_sentences_with_aud']
hätte einen,16,haben_noun,"Ich hätte einen längeren Brief geschrieben, wenn ich mehr Zeit gehabt hätte.",I would have written a longer letter if I'd had more time.,['100k_German_sentences_with_aud']
habe alle,16,haben_noun,Ich habe alle meine Ersparnisse dafür ausgegeben.,I spent all the savings I had on this.,['100k_German_sentences_with_aud']
habe von,16,haben_noun,Ich habe von dieser Stadt noch nie gehört.,I've never heard of that city.,['100k_German_sentences_with_aud']
sind immer,16,sein_adj,Deine Ratschläge sind immer hilfreich für mich.,Your advice is always helpful to me.,['100k_German_sentences_with_aud']
ist interessant,16,sein_adj,"Es ist interessant, dass niemand den Fehler bemerkt hat.",It is interesting that no one noticed that mistake.,['100k_German_sentences_with_aud']
hatte gehofft,16,haben_noun,"Ich hatte gehofft, das gestern fertigzustellen.",I had hoped to have finished this yesterday.,['100k_German_sentences_with_aud']
haben ihn,16,haben_noun,"jn. bewegen .... + Dat. Er ließ sich nicht zu einer Entschuldigung bewegen. Sie lässt sich einfach nicht dazu bewegen, von ihrem Amt zurückzutreten. Wir haben ihn da... bewegt, um Verzeihung zu bitten","jn. bewegen zu + Dat. Er ließ sich nicht zu einer Entschuldigung bewegen. Sie lässt sich einfach nicht dazu bewegen, von ihrem Amt zurückzutreten. Wir haben ihn dazu bewegt, um Verzeihung zu bitten.","['100k_German_sentences_with_aud', 'Verben_mit_Prpositionen_und_Be']"
machst dir,16,machen_noun,"Ich glaube, du machst dir zu viele Sorgen.",I think you worry too much.,['100k_German_sentences_with_aud']
entschlossen,16,sich_verb,"Peter hat sich entschlossen, morgen abzufahren.",Peter has decided to leave tomorrow.,['100k_German_sentences_with_aud']
wäre so,16,sein_adj,Ein dermaßen alter Lüfter wäre so gut wie zwecklos.,Such an old fan would be next to useless.,['100k_German_sentences_with_aud']
hatten keine,16,haben_noun,"Die Seeräuber hatten keine andere Wahl, als sich zu ergeben.",The pirates had no choice but to surrender.,['100k_German_sentences_with_aud']
kaum,16,sich_verb,Er studierte hart und nahm sich kaum Zeit für die Mahlzeit.,"He studied hard, hardly taking time out for lunch.",['100k_German_sentences_with_aud']
ist unhöflich,16,sein_adj,"Es ist unhöflich von Ihnen, so zu reden.",It is rude of you to say so.,['100k_German_sentences_with_aud']
ist damit,16,sein_adj,"Der Lehrer ist damit beschäftigt, die Arbeiten zu benoten.",The teacher is busy marking papers.,['100k_German_sentences_with_aud']
hättest nicht,16,haben_noun,Du hättest nicht so etwas zu ihm sagen sollen.,You ought not to have said a thing like that to him.,['100k_German_sentences_with_aud']
